row ID,row m/z,row retention time,G95984_repeat_RG10_01_31635.mzXML Peak area,G95983_RA9_01_31462.mzXML Peak area,G95982_repeat_RB8_01_31543.mzXML Peak area,G95952_BA6_01_31659.mzXML Peak area,G96383_RA9_01_31737.mzXML Peak area,G96108_RC5_01_31487.mzXML Peak area,G96130_RE9_01_31521.mzXML Peak area,G95953_BB6_01_31682.mzXML Peak area,G96194_RD5_01_31500.mzXML Peak area,G96107_repeat_RD4_01_31616.mzXML Peak area,G96384_RB6_01_31763.mzXML Peak area,G96385_RB3_01_31754.mzXML Peak area,G96195_RG6_01_31579.mzXML Peak area,G96109_repeat_RB11_01_31549.mzXML Peak area,G96196_RC6_01_31488.mzXML Peak area,G96176_repeat_RE2_01_31625.mzXML Peak area,G95954_RF12_01_31571.mzXML Peak area,G96128_repeat2_BB7_01_31703.mzXML Peak area,G96177_repeat_RG12_01_31637.mzXML Peak area,G96129_RF11_01_31570.mzXML Peak area,G96178_repeat2_RH10_01_31679.mzXML Peak area,
2350,323.6655293231252,0.4619134920634921,432.56399999999985,248.09399999999985,226.1819999999999,6173.5830000000005,1299.2300000000005,14259.574,17819.7555,4508.965000000001,14862.608499999998,13868.399000000003,770.1580000000001,752.0184999999997,36740.959,14454.642000000002,41022.781,34580.89199999999,5750.547500000001,22773.4545,51586.81000000005,25698.61300000002,54441.60249999999,
2358,1089.8480505650339,4.804214705882352,3353.641499999997,1810.5425000000105,1520.6235000000088,237.97999999999908,0,9972.937499999874,13930.566999999915,1031.1759999999952,6250.4019999999955,28256.759499999785,0,0,9036.574999999975,30124.579500000436,13057.734500000148,22267.06549999986,0,27810.724000000013,26635.351500000146,30989.85100000023,28586.699999999943,
2359,982.9965473375823,4.412507894736842,4998.248000000039,4636.136000000014,3063.156000000031,2351.0709999999954,0,10103.76699999993,35395.25199999994,3682.909500000041,211127.05149999846,18400.08050000012,209.53600000000165,0,72642.75749999941,13041.496000000065,147514.19250000152,114989.82549999891,5817.214999999945,17372.093000000128,123296.46849999834,37781.9995000004,175237.6899999994,
2364,1067.8215817352755,5.412848245614035,16781.214999999993,18686.495999999945,10803.342,6466.844499999943,0,35003.06799999997,42240.03499999994,2892.6520000000546,53885.005000000245,26877.33849999998,268.71400000000153,0,17490.84349999997,43857.652500000084,35362.66350000001,45259.0515,12960.805000000077,19507.590000000047,30018.54649999988,19181.23299999996,39689.32399999997,
2368,399.8969232732599,2.9692000000000003,0,0,0,0,0,20618.540000000045,34192.457,0,32871.56550000003,35841.18400000001,0,0,40911.06349999998,32083.51899999996,41994.00899999999,87624.06249999997,0,46789.08499999998,0,61917.9015,84604.46999999999,
2369,664.3112526663186,3.1005490740740744,168.04450000000037,426.33599999999944,502.6950000000019,206.38800000000077,0,14620.890000000021,24220.484500000028,401.2554999999997,30053.056500000028,22011.011500000022,0,0,37443.6485000001,18546.048999999934,52805.35649999984,73693.2480000001,182.95199999999886,29927.826499999905,73153.35849999983,38415.46699999994,65360.56049999986,
2371,501.2943683977704,0.44690111111111114,0,0,0,1553.184500000001,0,23067.965999999986,32156.64749999999,1153.5449999999987,38792.3075,28907.227500000008,0,0,81561.04250000003,28147.293,107664.39299999995,118114.66500000001,1948.297000000001,38998.8355,173626.71649999998,67302.57050000003,106307.88449999999,
2383,424.90948556764715,3.009905952380952,3236.186999999999,698.6274999999971,0,0,0,16465.887000000024,25818.50499999993,0,14191.499,25420.431000000004,0,0,21591.17999999997,20749.432000000004,17996.151499999978,50239.25150000008,0,39859.93350000003,40900.33750000005,24493.30550000009,32843.39050000003,
2389,1097.367412792618,5.142913492063493,43266.18099999978,34059.66249999986,40864.71549999992,32032.28650000016,23496.69449999995,11165.703000000065,9727.020500000066,42061.773499999785,4621.454000000007,11367.20699999993,17005.251999999982,10502.871999999925,3394.4919999999993,20538.256000000012,7314.9790000000285,3765.407999999991,35798.15600000037,10503.129499999914,5685.471499999911,8193.228999999968,11041.679499999978,
2394,965.9316648226411,5.373807894736843,6044.362500000015,15716.370499999965,29116.349000000017,49477.35849999988,0,32365.617499999975,40101.393000000004,39947.36200000001,39462.924000000035,22236.61400000005,166.61700000000033,0,19292.605500000056,32646.386500000124,27526.775000000005,22345.39949999997,49682.893999999906,16747.833000000002,25956.12449999998,30905.002500000042,27667.02500000009,
